"date","c","kd","l","m","mp","s","sd","v","ovr","riksdagsspärr"
2020-03-19,8.57884756670427,6.96072210052831,4.03869845047948,18.3363956898287,3.97386811680565,23.2530387122107,22.547176032752,10.8783495364234,1.43290379426746,4
2020-03-20,8.57884756670427,6.96072210052831,4.03869845047948,18.3363956898287,3.97386811680565,23.2530387122107,22.547176032752,10.8783495364234,1.43290379426746,4
2020-03-21,8.57884756670427,6.96072210052831,4.03869845047948,18.3363956898287,3.97386811680565,23.2530387122107,22.547176032752,10.8783495364234,1.43290379426746,4
2020-03-22,7.82547472011738,6.49442069041349,4.45548146469374,18.553740522442,3.967710018662,23.9384324496727,22.197494869744,11.3367479199938,1.23049734426095,4
2020-03-23,7.82547472011738,6.49442069041349,4.45548146469374,18.553740522442,3.967710018662,23.9384324496727,22.197494869744,11.3367479199937,1.23049734426095,4
2020-03-24,7.82547472011738,6.49442069041349,4.45548146469374,18.553740522442,3.967710018662,23.9384324496727,22.197494869744,11.3367479199937,1.23049734426095,4
2020-03-25,7.82547472011738,6.49442069041349,4.45548146469374,18.553740522442,3.967710018662,23.9384324496727,22.197494869744,11.3367479199937,1.23049734426095,4
2020-03-26,7.80928300686214,6.49259608760036,4.46152975301501,18.5644845393379,3.96653395161575,23.946336034652,22.1875939055799,11.3426875827918,1.22895513854518,4
2020-03-27,7.80928300686214,6.49259608760036,4.46152975301501,18.5644845393379,3.96653395161575,23.946336034652,22.1875939055799,11.3426875827918,1.22895513854518,4
2020-03-28,7.79984274956359,6.49675701425821,4.47172051881223,18.5672876767228,3.95982016650475,23.9436475790385,22.183223022715,11.3526786499907,1.22502262239423,4
2020-03-29,7.79984274956359,6.49675701425821,4.47172051881223,18.5672876767228,3.95982016650475,23.9436475790385,22.183223022715,11.3526786499907,1.22502262239423,4
2020-03-30,7.79984274956359,6.49675701425821,4.47172051881223,18.5672876767228,3.95982016650475,23.9436475790385,22.183223022715,11.3526786499907,1.22502262239423,4
2020-03-31,7.79984274956359,6.49675701425821,4.47172051881223,18.5672876767228,3.95982016650475,23.9436475790385,22.183223022715,11.3526786499907,1.22502262239423,4
2020-04-01,8.84539516713405,6.59334156295554,3.77233371537945,18.8679634121039,3.9789143117256,25.823774028035,21.5258917455293,9.61686317937004,0.975522877767077,4
